uid	old_dims	old_gp	truth_dims	truth_gp
1594	(12307, 8533)	0,10	12307x8533	0,11
1599	(34056, 33896)	1,15	15827x15827	0,25
1611	(19417, 12890)	0,25	43292x28739	1,24
1612	(17142, 14602)	0,25	59788x50928	3,04
1613	(21886, 11436)	0,25	39361x20568	0,81
1618	(27940, 31488)	0,88	14903x16795	0,25
1622	(31322, 31156)	0,98	15911x15827	0,25
1641	(30674, 32221)	0,99	28881x7115	0,21
1646	(17835, 14033)	0,25	35279x27758	0,98
1664	(19515, 12825)	0,25	74326x48847	3,63
1665	(15827, 15827)	0,25	38344x38344	1,47
1666	(30653, 8166)	0,25	74326x19800	1,47
1670	(39011, 52861)	2,06	13591x18416	0,25
1673	(18130, 13805)	0,25	43091x34191	1,47
1678	(15931, 15712)	0,25	29877x29466	0,88
1684	(28702, 24254)	0,70	17210x14543	0,25
1687	(86613, 83659)	7,25	16098x15549	0,25
1688	(35340, 35340)	1,25	15827x15827	0,25
1689	(97049, 40399)	3,92	24521x10207	0,25
1692	(59058, 25485)	1,51	24084x10393	0,25
1694	(118521, 118393)	14,03	15829x15811	0,25
1700	(19894, 12581)	0,25	28129x17789	0,50
1718	(16017, 15626)	0,25	33940x33112	1,12
1719	(14284, 17523)	0,25	21433x26294	0,56
1720	(15717, 15925)	0,25	41718x42270	1,76
1721	(14283, 17523)	0,25	21577x26471	0,57
1722	(17302, 14467)	0,25	36353x30396	1,10
1742	(17324, 14448)	0,25	24514x20445	0,50
1744	(25417, 22593)	0,57	16780x14916	0,25
1749	(15471, 16178)	0,25	30203x31583	0,95
1754	(21609, 23955)	0,52	15026x16657	0,25
1762	(18610, 13450)	0,25	37647x27208	1,02
1763	(18610, 13450)	0,25	37647x27208	1,02
1779	(12238, 20451)	0,25	28737x48023	1,38
1780	(12238, 20451)	0,25	28737x48023	1,38
1781	(12918, 19377)	0,25	22355x33532	0,75
1782	(12918, 19377)	0,25	22821x34231	0,78
1787	(20418, 12258)	0,25	33502x20113	0,67
1788	(20418, 12258)	0,25	33502x20113	0,67
1796	(21721, 29981)	0,65	13466x18587	0,25
1807	(25297, 25292)	0,64	15827x15824	0,25
1810	(24478, 21325)	0,52	17034x14694	0,25
1811	(26856, 26824)	0,72	15830x15811	0,25
1814	(16071, 15575)	0,25	29725x28807	0,86
1816	(15932, 15711)	0,25	27972x27584	0,77
1823	(30000, 23860)	None	17740x14109	0,25
1828	(23226, 23226)	None	15827x15827	0,25
1829	(24000, 24000)	None	15827x15827	0,25
1835	(15827, 15827)	None	23800x23800	0,57
1836	(17740, 14110)	None	30000x23861	0,72
1839	(26000, 26000)	None	15827x15827	0,25
1841	(27000, 26513)	None	15965x15677	0,25
1844	(26000, 26000)	None	15827x15827	0,25
1846	(30000, 23861)	None	17739x14109	0,25
1847	(26000, 26000)	None	15827x15827	0,25
1848	(26000, 26000)	None	15827x15827	0,25
1849	(26000, 26000)	None	15827x15827	0,25
1862	(14187, 17644)	0,25	21375x26583	0,57
1864	(34183, 7322)	0,25	71760x15371	1,10
1865	(24403, 10257)	0,25	36568x15370	0,56
1875	(55000, 21456)	1,18	25330x9881	0,25
1878	(48500, 20964)	1,02	24063x10401	0,25
1879	(34786, 29433)	1,02	17200x14553	0,25
1886	(27439, 28217)	0,77	15601x16043	0,25
1888	(27560, 38008)	1,05	13472x18579	0,25
1889	(24266, 26879)	0,65	15032x16651	0,25
1895	(25573, 9787)	None	103720x39695	4,12
1896	(25296, 9894)	None	71392x27924	1,99
1899	(25538, 9801)	None	69556x26694	1,86
1900	(25597, 9779)	None	70294x26854	1,89
1901	(24300, 10240)	0,25	53323x22471	1,20
1913	(17979, 13922)	None	50928x39435	2,01
1917	(12780, 19585)	0,25	21711x33272	0,72
1918	(19700, 12705)	0,25	28605x18448	0,53
1919	(15271, 16391)	0,25	32121x34477	1,11
1926	(12199, 20517)	0,25	29407x49458	1,45
1927	(14837, 16869)	0,25	27496x31262	0,86
1928	(23343, 10723)	0,25	39510x18149	0,72
1942	(200, 90)	0,25	23622x10630	0,25
1943	(15834, 15807)	0,25	31174x31121	0,97
1945	(16003, 15640)	0,25	64254x62796	4,03
1946	(15827, 15827)	0,25	44033x44033	1,94
1949	(15897, 15744)	0,25	38864x38489	1,50
1952	(34697, 16484)	0,57	22953x10905	0,25
1955	(33029, 7578)	0,25	76322x17511	1,34
1957	(46734, 17511)	0,82	25845x9684	0,25
1965	(16605, 31540)	0,52	11479x21804	0,25
1966	(16605, 31540)	0,52	11479x21804	0,25
1969	(45450, 18441)	0,84	24837x10077	0,25
1970	(29045, 25584)	0,74	16857x14848	0,25
1971	(29045, 25584)	0,74	16857x14848	0,25
1979	(28806, 19147)	0,55	19405x12898	0,25
1981	(20716, 12082)	0,25	38295x22334	0,86
1982	(26528, 9436)	0,25	38295x13621	0,52
1985	(16414, 15249)	0,25	26988x25073	0,68
